entry_number,soloist_instrument,soloist_name,soloist_roles,season,program_id,id
40618,Violin,"Tetzlaff, Christian",S,2002-03,9122,f58c019c-b37f-4871-9396-5cc1b8f69e4e
40619,Violin,"Kim, Michelle",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40620,Violin,"Staples, Sheryl",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40621,Viola,"Phelps, Cynthia",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40622,Viola,"Young, Rebecca",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40623,Cello,"Brey, Carter",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40624,Cello,"Ni, Hai-Ye",A,2002-03,9637,6e9941e9-deb2-4582-98ae-9cc952eb0c7b
40625,Soprano,"Voigt, Deborah",S,2002-03,9130,48e84405-951f-4b8a-b742-000c2a8c589b
40628,Cello,"Isserlis, Steven",S,2002-03,9131,c4df9d2d-65d5-4040-9f01-1eb8121e0843
40629,Cello,"Isserlis, Steven",S,2002-03,9102,540de2cb-d938-46ca-8279-9f9a124ae438
40631,Narrator,"Randall, Tony",S,2002-03,9249,c970d9f9-a5de-450b-8901-7f9969b65379
40632,Sing-Along,Audience,A,2002-03,9249,c970d9f9-a5de-450b-8901-7f9969b65379
40635,Cello,"Brey, Carter",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40636,Cello,"Ni, Hai-Ye",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40637,Cello,"Isserlis, Steven",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40638,Piano,"Biss, Jonathan",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40639,Violin,"Staples, Sheryl",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40641,Clarinet,"Drucker, Stanley",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40645,Violin,"Kim, Michelle",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40646,Viola,"Young, Rebecca",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40647,Viola,"Breslaw, Irene",A,2002-03,9254,2f25e9dc-27ed-4d7b-8b3d-e330409a94a3
40650,Klezmer Band,"Klezmer Conservatory Band, The",S,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40651,Alto Saxophone,"Netsky, Hankus",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40652,Accordion,"Netsky, Hankus",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40653,Piano,"Netsky, Hankus",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40654,"Vocals, Percussion","Bressler, Judy",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40655,Clarinet,"Stahl, Ilene",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40656,Violin,"Strauss, Deborah",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40657,Flute/Piccolo,"Miller, Robin",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40658,Cornet,"Berney, Mark",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
40659,Trombone,"Hamilton, Mark",A,2002-03,9168,f7197b5e-b36d-4582-a076-fca09b6bc414
